packet_id,time_stamp,src_mac,dest_mac,src_ip,dest_ip,protoc,src_port,dest_port,port_categ,packet_categ,payload
0,2024-11-30 18:27:09,1c:57:dc:65:81:f2,1:0:5e:0:0:fb,10.192.67.245,224.0.0.251,UDP,5353,5353,Unknown,Other UDP Traffic,00 00 00 00 00 01 00 00 00 00 00 00 10 5f 73 70 6f 74 69 66 79 2d 63 6f 6e 6e 65 63 74 04 5f 74 63 70 05 6c 6f 63 61 6c 00 00 0c 00 01 
1,2024-11-30 18:27:09,1c:57:dc:65:81:f2,1:0:5e:7f:ff:fa,10.192.67.245,239.255.255.250,UDP,58905,1900,Unknown,Other UDP Traffic,4d 2d 53 45 41 52 43 48 20 2a 20 48 54 54 50 2f 31 2e 31 0d 0a 48 4f 53 54 3a 20 32 33 39 2e 32 35 35 2e 32 35 35 2e 32 35 30 3a 31 39 30 30 0d 0a 4d 41 4e 3a 20 22 73 73 64 70 3a 64 69 73 63 6f 76 65 72 22 0d 0a 4d 58 3a 20 31 0d 0a 53 54 3a 20 75 72 6e 3a 64 69 61 6c 2d 6d 75 6c 74 69 73 63 72 65 65 6e 2d 6f 72 67 3a 73 65 72 76 69 63 65 3a 64 69 61 6c 3a 31 0d 0a 0d 0a 
2,2024-11-30 18:27:09,d4:8d:26:f8:eb:d4,1c:57:dc:65:81:f2,10.192.67.75,10.192.67.245,UDP,37891,58905,Unknown,Other UDP Traffic,48 54 54 50 2f 31 2e 31 20 32 30 30 20 4f 4b 0d 0a 4c 6f 63 61 74 69 6f 6e 3a 20 68 74 74 70 3a 2f 2f 31 30 2e 31 39 32 2e 36 37 2e 37 35 3a 31 38 38 34 2f 0d 0a 43 61 63 68 65 2d 43 6f 6e 74 72 6f 6c 3a 20 6d 61 78 2d 61 67 65 3d 31 38 30 30 0d 0a 53 65 72 76 65 72 3a 20 57 65 62 4f 53 2f 31 2e 35 20 55 50 6e 50 2f 31 2e 30 20 77 65 62 4f 53 54 56 2f 31 2e 30 0d 0a 45 58 54 3a 20 0d 0a 55 53 4e 3a 20 75 75 69 64 3a 64 63 62 35 33 30 32 37 2d 63 32 62 64 2d 34 65 33 36 2d 39 31 32 66 2d 61 64 61 32 33 65 36 31 31 63 66 65 3a 3a 75 72 6e 3a 64 69 61 6c 2d 6d 75 6c 74 69 73 63 72 65 65 6e 2d 6f 72 67 3a 73 65 72 76 69 63 65 3a 64 69 61 6c 3a 31 0d 0a 53 54 3a 20 75 72 6e 3a 64 69 61 6c 2d 6d 75 6c 74 69 73 63 72 65 65 6e 2d 6f 72 67 3a 73 65 72 76 69 63 65 3a 64 69 61 6c 3a 31 0d 0a 44 61 74 65 3a 20 53 61 74 2c 20 33 30 20 4e 6f 76 20 32 30 32 34 20 31 37 3a 32 37 3a 30 38 20 47 4d 54 0d 0a 0d 0a 
3,2024-11-30 18:27:09,d4:8d:26:f8:eb:d4,1c:57:dc:65:81:f2,10.192.67.75,10.192.67.245,UDP,37891,58905,Unknown,Other UDP Traffic,48 54 54 50 2f 31 2e 31 20 32 30 30 20 4f 4b 0d 0a 4c 6f 63 61 74 69 6f 6e 3a 20 68 74 74 70 3a 2f 2f 31 30 2e 31 39 32 2e 36 37 2e 37 35 3a 31 38 38 34 2f 0d 0a 43 61 63 68 65 2d 43 6f 6e 74 72 6f 6c 3a 20 6d 61 78 2d 61 67 65 3d 31 38 30 30 0d 0a 53 65 72 76 65 72 3a 20 57 65 62 4f 53 2f 31 2e 35 20 55 50 6e 50 2f 31 2e 30 20 77 65 62 4f 53 54 56 2f 31 2e 30 0d 0a 45 58 54 3a 20 0d 0a 55 53 4e 3a 20 75 75 69 64 3a 64 63 62 35 33 30 32 37 2d 63 32 62 64 2d 34 65 33 36 2d 39 31 32 66 2d 61 64 61 32 33 65 36 31 31 63 66 65 3a 3a 75 72 6e 3a 64 69 61 6c 2d 6d 75 6c 74 69 73 63 72 65 65 6e 2d 6f 72 67 3a 73 65 72 76 69 63 65 3a 64 69 61 6c 3a 31 0d 0a 53 54 3a 20 75 72 6e 3a 64 69 61 6c 2d 6d 75 6c 74 69 73 63 72 65 65 6e 2d 6f 72 67 3a 73 65 72 76 69 63 65 3a 64 69 61 6c 3a 31 0d 0a 44 61 74 65 3a 20 53 61 74 2c 20 33 30 20 4e 6f 76 20 32 30 32 34 20 31 37 3a 32 37 3a 30 38 20 47 4d 54 0d 0a 0d 0a 
4,2024-11-30 18:27:09,1c:57:dc:65:81:f2,d4:8d:26:f8:eb:d4,10.192.67.245,10.192.67.75,TCP,53628,1884,Unknown,Other TCP Traffic,02 04 05 b4 01 03 03 06 01 01 08 0a 29 f5 01 93 00 00 00 00 04 02 00 00 
5,2024-11-30 18:27:09,d4:8d:26:f8:eb:d4,1c:57:dc:65:81:f2,10.192.67.75,10.192.67.245,TCP,1884,53628,Unknown,Other TCP Traffic,02 04 05 b4 04 02 08 0a 2c 81 fe 6c 29 f5 01 93 01 03 03 07 
6,2024-11-30 18:27:09,1c:57:dc:65:81:f2,d4:8d:26:f8:eb:d4,10.192.67.245,10.192.67.75,TCP,53628,1884,Unknown,Other TCP Traffic,01 01 08 0a 29 f5 01 98 2c 81 fe 6c 
7,2024-11-30 18:27:09,1c:57:dc:65:81:f2,d4:8d:26:f8:eb:d4,10.192.67.245,10.192.67.75,TCP,53628,1884,Unknown,Other TCP Traffic,01 01 08 0a 29 f5 01 98 2c 81 fe 6c 47 45 54 20 2f 20 48 54 54 50 2f 31 2e 31 0d 0a 43 6f 6e 6e 65 63 74 69 6f 6e 3a 20 6b 65 65 70 2d 61 6c 69 76 65 0d 0a 41 63 63 65 70 74 2d 45 6e 63 6f 64 69 6e 67 3a 20 67 7a 69 70 0d 0a 4b 65 65 70 2d 41 6c 69 76 65 3a 20 30 0d 0a 48 6f 73 74 3a 20 31 30 2e 31 39 32 2e 36 37 2e 37 35 3a 31 38 38 34 0d 0a 55 73 65 72 2d 41 67 65 6e 74 3a 20 53 70 6f 74 69 66 79 2f 31 32 35 31 30 30 33 34 35 20 4f 53 58 5f 41 52 4d 36 34 2f 30 20 28 4d 61 63 31 34 2c 32 29 0d 0a 0d 0a 
8,2024-11-30 18:27:09,d4:8d:26:f8:eb:d4,1c:57:dc:65:81:f2,10.192.67.75,10.192.67.245,TCP,1884,53628,Unknown,Other TCP Traffic,01 01 08 0a 2c 81 fe 71 29 f5 01 98 
9,2024-11-30 18:27:09,d4:8d:26:f8:eb:d4,1c:57:dc:65:81:f2,10.192.67.75,10.192.67.245,TCP,1884,53628,Unknown,Other TCP Traffic,01 01 08 0a 2c 81 fe 72 29 f5 01 98 48 54 54 50 2f 31 2e 31 20 32 30 30 20 4f 4b 0d 0a 44 61 74 65 3a 20 53 61 74 2c 20 33 30 20 4e 6f 76 20 32 30 32 34 20 31 37 3a 32 37 3a 30 38 20 47 4d 54 0d 0a 53 65 72 76 65 72 3a 20 57 65 62 4f 53 2f 31 2e 35 20 55 50 6e 50 2f 31 2e 30 20 77 65 62 4f 53 54 56 2f 31 2e 30 0d 0a 43 6f 6e 74 65 6e 74 2d 4c 65 6e 67 74 68 3a 20 31 32 32 35 0d 0a 43 6f 6e 74 65 6e 74 2d 54 79 70 65 3a 20 74 65 78 74 2f 78 6d 6c 3b 20 63 68 61 72 73 65 74 3d 22 75 74 66 2d 38 22 0d 0a 41 70 70 6c 69 63 61 74 69 6f 6e 2d 55 52 4c 3a 20 68 74 74 70 3a 2f 2f 31 30 2e 31 39 32 2e 36 37 2e 37 35 3a 33 36 38 36 36 2f 61 70 70 73 0d 0a 0d 0a 
